Modelo,SMAPE,RMSE,MAE,Dataset
updrs_1,50.05000237686842,5.517838425113731,30.446540885661577,24 Meses
updrs_2,49.16577153706161,5.274010281945194,27.815184454063623,24 Meses
updrs_3,41.72257600666847,12.575037694641157,158.131573021646,24 Meses
updrs_4,143.6259832684069,3.4887699602975974,12.1715158358749,24 Meses
Media,71.14108329725136,6.71391409049942,57.14120354931153,24 Meses
updrs_1,45.20336240753707,6.5501308803923175,42.90421455026903,84 Meses
updrs_2,47.47050508635116,7.754801716136771,60.13694965659781,84 Meses
updrs_3,49.618238789750116,18.54976169004957,344.09365875763075,84 Meses
updrs_4,88.09873638192677,2.9654813653870806,8.794079728458023,84 Meses
Media,57.59771066639128,8.955043912991435,113.9822256732389,84 Meses
