Modelo,SMAPE,RMSE,MAE,Dataset
updrs_1,49.661074887873916,5.450985865690508,29.713246907957696,24 Meses
updrs_2,48.93925387790464,5.246953910083768,27.530525334543338,24 Meses
updrs_3,41.66940367555728,12.54618436088764,157.4067420173816,24 Meses
updrs_4,143.4496545874204,3.46513042726006,12.007128877923485,24 Meses
Media,70.92984675718907,6.677313640980494,56.66441078445153,24 Meses
updrs_1,45.36806411823332,6.558762765320053,43.017369011748755,84 Meses
updrs_2,47.39838814149396,7.753693880354428,60.1197687902457,84 Meses
updrs_3,49.784219620526954,18.589510749791966,345.5699099166311,84 Meses
updrs_4,87.96645412056915,2.9570742172831315,8.744287926520645,84 Meses
Media,57.62928150020585,8.964760403187395,114.36283391128656,84 Meses
