Modelo,SMAPE,RMSE,MAE,Dataset
updrs_1,47.35827197882645,5.138305035948039,26.402178642448984,24 Meses
updrs_2,46.610931392283725,4.9863285091087945,24.863472000751134,24 Meses
updrs_3,38.91317689049638,11.717385814077646,137.29713031594807,24 Meses
updrs_4,143.1362634466616,3.351312048479335,11.231292446282756,24 Meses
Media,69.00466092706704,6.298332851903454,49.948518351357734,24 Meses
updrs_1,45.93502625538336,6.639068754654359,44.077233929027784,84 Meses
updrs_2,48.013342087784395,7.800677613296615,60.85057122658697,84 Meses
updrs_3,49.80932230553219,18.72155400877304,350.4965845034059,84 Meses
updrs_4,92.63348731012145,3.089215226033231,9.543250712755546,84 Meses
Media,59.09779448970535,9.062628900689312,116.24191009294405,84 Meses
